Summary of Missing Files:
  Total simulations with missing files: 1417
  Simulation 62, Vegetation: grass, Wind Direction: 157o5deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 180o0deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 202o5deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 225o0deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 247o5deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 270o0deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 292o5deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 315o0deg - Missing files: ALL files missing
  Simulation 62, Vegetation: grass, Wind Direction: 337o5deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 0o0deg - Missing files: *.vtk
  Simulation 64, Vegetation: grass, Wind Direction: 22o5deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 45o0deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 67o5deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 90o0deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 112o5deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 135o0deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 157o5deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 180o0deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 202o5deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 225o0deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 247o5deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 270o0deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 292o5deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 315o0deg - Missing files: ALL files missing
  Simulation 64, Vegetation: grass, Wind Direction: 337o5deg - Missing files: ALL files missing
  Simulation 65, Vegetation: grass, Wind Direction: 0o0deg - Missing files: *.vtk, *ang.asc, *ang.prj, *vel.asc, *vel.prj
